date,revenue,net_income,eps
2014-03-31,19300000,100000,0.02
2014-06-30,19340000,-126000,-0.27
2014-09-30,20000000,-437000,-0.95
2014-12-31,29800000,214000,0.45
2015-03-31,22400000,92000,0.19
2015-06-30,23200000,92000,0.19
2015-09-30,25400000,79000,0.17
2015-12-31,35800000,482000,1.00
2016-03-31,29400000,513000,1.07
2016-06-30,30400000,857000,1.78
2016-09-30,32700000,252000,0.52
2016-12-31,43700000,749000,1.54
2017-03-31,35600000,724000,1.48
2017-06-30,37900000,197000,0.40
2017-09-30,43700000,256000,0.53
2017-12-31,60400000,1866000,3.75
2018-03-31,51000000,1600000,3.27
2018-06-30,52600000,2583000,5.07
2018-09-30,56600000,2820000,5.75
2018-12-31,72300000,3000000,6.04
2019-03-31,59700000,3570000,7.09
2019-06-30,63400000,2610000,5.22
2019-09-30,69900000,2290000,4.23
2019-12-31,87400000,3280000,6.47
2020-03-31,75400000,2570000,5.01
2020-06-30,88900000,5210000,10.30
2020-09-30,96100000,6460000,12.37
2020-12-31,125600000,7220000,14.09
2021-03-31,108500000,8150000,15.79
2021-06-30,113100000,7780000,15.12
2021-09-30,110800000,3130000,6.12
2021-12-31,137400000,14323000,27.75
2022-03-31,116400000,-3200000,-7.56
2022-06-30,121200000,-2000000,-4.24
2022-09-30,127100000,-2800000,-5.87
2022-12-31,149200000,278000,0.58
2023-03-31,127400000,3200000,0.62
2023-06-30,134400000,6700000,1.31
2023-09-30,143100000,9700000,1.91
2023-12-31,170000000,10300000,2.03
