date,revenue,net_income,eps
2014-03-31,45000000,11000000,0.90
2014-06-30,47000000,11500000,0.95
2014-09-30,49000000,12000000,1.00
2014-12-31,68000000,16000000,1.25
2015-03-31,70000000,16500000,1.30
2015-06-30,72000000,17000000,1.35
2015-09-30,74000000,17500000,1.40
2015-12-31,90000000,20000000,1.60
2016-03-31,88000000,19500000,1.55
2016-06-30,86000000,19000000,1.50
2016-09-30,87000000,19200000,1.52
2016-12-31,92000000,21000000,1.70
2017-03-31,93000000,21500000,1.72
2017-06-30,94000000,22000000,1.75
2017-09-30,95000000,22500000,1.78
2017-12-31,97000000,23000000,1.80
2018-03-31,98000000,23200000,1.82
2018-06-30,99000000,23500000,1.85
2018-09-30,100000000,24000000,1.88
2018-12-31,102000000,24500000,1.92
2019-03-31,104000000,25000000,1.95
2019-06-30,106000000,25500000,1.98
2019-09-30,108000000,26000000,2.00
2019-12-31,110000000,26500000,2.05
2020-03-31,112000000,27000000,2.08
2020-06-30,114000000,27500000,2.10
2020-09-30,116000000,28000000,2.12
2020-12-31,118000000,28500000,2.15
2021-03-31,120000000,29000000,2.20
2021-06-30,122000000,29500000,2.25
2021-09-30,124000000,30000000,2.30
2021-12-31,126000000,30500000,2.35
2022-03-31,128000000,31000000,2.40
2022-06-30,130000000,31500000,2.45
2022-09-30,132000000,32000000,2.50
2022-12-31,134000000,32500000,2.55
2023-03-31,136000000,33000000,2.60
2023-06-30,138000000,33500000,2.65
2023-09-30,140000000,34000000,2.70
2023-12-31,142000000,34500000,2.75
