date,revenue,net_income,eps
2014-03-31,20400000,5400000,0.62
2014-06-30,23400000,6100000,0.69
2014-09-30,23200000,5700000,0.66
2014-12-31,26100000,5800000,0.70
2015-03-31,21700000,4900000,0.61
2015-06-30,22200000,4800000,0.60
2015-09-30,23300000,5200000,0.65
2015-12-31,25100000,5600000,0.68
2016-03-31,22400000,5000000,0.63
2016-06-30,22000000,4600000,0.58
2016-09-30,23000000,4800000,0.60
2016-12-31,24800000,5200000,0.64
2017-03-31,23500000,5100000,0.66
2017-06-30,24700000,5300000,0.68
2017-09-30,24500000,5400000,0.70
2017-12-31,28000000,6300000,0.75
2018-03-31,26500000,6100000,0.73
2018-06-30,29800000,7100000,0.80
2018-09-30,29000000,6800000,0.78
2018-12-31,32400000,8100000,0.85
2019-03-31,30400000,7700000,0.82
2019-06-30,33700000,8900000,0.93
2019-09-30,33100000,8700000,0.90
2019-12-31,36000000,9600000,1.02
2020-03-31,35400000,9500000,1.01
2020-06-30,38000000,11000000,1.14
2020-09-30,37000000,10800000,1.12
2020-12-31,43000000,15000000,1.34
2021-03-31,41000000,14000000,1.28
2021-06-30,46100000,16000000,1.46
2021-09-30,45300000,15500000,1.42
2021-12-31,51700000,18900000,2.03
2022-03-31,49300000,16700000,1.85
2022-06-30,52400000,16900000,1.87
2022-09-30,50500000,17400000,1.91
2022-12-31,52800000,18500000,2.00
2023-03-31,52700000,18000000,1.95
2023-06-30,56700000,19000000,2.10
2023-09-30,58200000,19200000,2.14
2023-12-31,60000000,19800000,2.18
