date,revenue,net_income,eps
2014-03-31,1100000,137000,0.24
2014-06-30,1200000,173000,0.29
2014-09-30,1300000,180000,0.32
2014-12-31,1400000,193000,0.35
2015-03-31,1150000,134000,0.25
2015-06-30,1220000,159000,0.28
2015-09-30,1310000,181000,0.31
2015-12-31,1420000,207000,0.36
2016-03-31,1300000,196000,0.35
2016-06-30,1430000,253000,0.42
2016-09-30,1740000,370000,0.63
2016-12-31,2170000,655000,1.13
2017-03-31,1920000,507000,0.90
2017-06-30,2230000,583000,1.01
2017-09-30,2630000,838000,1.33
2017-12-31,2910000,970000,1.52
2018-03-31,3200000,1240000,1.98
2018-06-30,3900000,1300000,2.08
2018-09-30,4100000,1430000,2.30
2018-12-31,4500000,1500000,2.53
2019-03-31,4700000,1600000,2.75
2019-06-30,5000000,1700000,2.90
2019-09-30,5100000,1750000,3.00
2019-12-31,5400000,1850000,3.20
2020-03-31,5600000,1900000,3.30
2020-06-30,5900000,2000000,3.50
2020-09-30,6200000,2100000,3.65
2020-12-31,6600000,2300000,3.90
2021-03-31,6900000,2500000,4.10
2021-06-30,7100000,2600000,4.25
2021-09-30,7400000,2700000,4.40
2021-12-31,7700000,2800000,4.60
2022-03-31,8000000,2900000,4.75
2022-06-30,8300000,3000000,4.90
2022-09-30,8600000,3100000,5.05
2022-12-31,9000000,3200000,5.20
2023-03-31,9400000,3300000,5.35
2023-06-30,9800000,3400000,5.50
2023-09-30,10200000,3500000,5.65
2023-12-31,10600000,3600000,5.80
