date,revenue,net_income,eps
2014-03-31,620000,50000,0.05
2014-06-30,770000,40000,0.04
2014-09-30,850000,43000,0.05
2014-12-31,957000,46000,0.06
2015-03-31,940000,42000,0.05
2015-06-30,1020000,44000,0.05
2015-09-30,1100000,46000,0.06
2015-12-31,1210000,50000,0.07
2016-03-31,1300000,55000,0.08
2016-06-30,1400000,60000,0.09
2016-09-30,1500000,70000,0.10
2016-12-31,1600000,80000,0.11
2017-03-31,1700000,85000,0.12
2017-06-30,1800000,90000,0.13
2017-09-30,1900000,95000,0.14
2017-12-31,2000000,100000,0.15
2018-03-31,2100000,110000,0.17
2018-06-30,2200000,120000,0.18
2018-09-30,2300000,130000,0.20
2018-12-31,2400000,140000,0.21
2019-03-31,2500000,150000,0.22
2019-06-30,2600000,160000,0.24
2019-09-30,2700000,170000,0.26
2019-12-31,2800000,180000,0.28
2020-03-31,2900000,190000,0.30
2020-06-30,3000000,200000,0.32
2020-09-30,3100000,210000,0.34
2020-12-31,3200000,220000,0.36
2021-03-31,3300000,230000,0.38
2021-06-30,3400000,240000,0.40
2021-09-30,3500000,250000,0.42
2021-12-31,3600000,260000,0.44
2022-03-31,3700000,270000,0.46
2022-06-30,3800000,280000,0.48
2022-09-30,3900000,290000,0.50
2022-12-31,4000000,300000,0.52
2023-03-31,4100000,310000,0.54
2023-06-30,4200000,320000,0.56
2023-09-30,4300000,330000,0.58
2023-12-31,4400000,340000,0.60
